# Sample flow file,,,,,,,
# Scenario B flow,,,,,,,
# To be processed using flow stress calculator (FlowStress_main.py),,,,,,,
# Robert Morden University of Melbourne February 2024,,,,,,,
,year,month,C1,C2,C3,C4,C5
1895-11-01,1895,11,9.8223,100,302.9114,807.6815,0.0055
1895-12-01,1895,12,32.8039,143.9215,414.5849,1310.9297,0.2405
1896-01-01,1896,1,14.6816,112.2575,200.8471,1135.0189,3.4327
1896-02-01,1896,2,41.1884,142.0909,365.1229,1769.2152,2.4079
1896-03-01,1896,3,18.4896,109.8793,146.947,1011.6571,0.9883
1896-04-01,1896,4,107.7392,273.7431,906.1379,5061.6369,150.0808
1896-05-01,1896,5,100,523.9209,2030.2666,12362.0396,190.5257
1896-06-01,1896,6,44.211,416.6472,1223.9929,11846.5807,533.1511
1896-07-01,1896,7,100,1291.4173,3727.0172,13570.8846,696.1098
1896-08-01,1896,8,100,2255.7339,6714.4755,18641.2824,786.7957
1896-09-01,1896,9,100,1754.3157,5876.8502,16167.985,161.3997
1896-10-01,1896,10,18.4501,106.4359,1061.4881,2189.268,1.1963
1896-11-01,1896,11,12.4478,103.8791,389.2207,811.6769,0.0062
1896-12-01,1896,12,6.2368,105.1769,145.8985,418.3964,0.0237
1897-01-01,1897,1,207.5618,409.3006,1369.1712,4182.3077,4.2726
1897-02-01,1897,2,57.0341,175.5545,533.8846,2518.592,2.2329
1897-03-01,1897,3,19.7982,122.068,217.2878,1312.0959,0.3603
1897-04-01,1897,4,13.3159,107.0064,124.0508,669.5664,0.0149
1897-05-01,1897,5,19.013,135.7403,200.7351,1778.6903,0.6687
1897-06-01,1897,6,37.7692,133.6079,290.2763,2211.1218,0.9131
1897-07-01,1897,7,61.052,205.755,661.3335,4323.0649,1.5671
1897-08-01,1897,8,100,421.9058,2064.8834,10877.2693,32.9301
1897-09-01,1897,9,96.6334,364.1925,1240.9646,5655.9251,1.9239
1897-10-01,1897,10,100,495.5288,1509.286,5625.5706,3.3754
1897-11-01,1897,11,33.1783,121.2081,357.967,1283.2202,0.4449
1897-12-01,1897,12,7.6344,100,103.7284,403.135,0.0026
1898-01-01,1898,1,1.7824,99.6769,33.6167,177.5407,0
1898-02-01,1898,2,2.0491,90.4626,15.1285,117.2813,0
1898-03-01,1898,3,0.5438,98.6991,7.509,115.9941,0.0002
1898-04-01,1898,4,35.2097,139.8168,380.9134,979.2451,0.8571
1898-05-01,1898,5,30.6344,179.3408,412.5542,1439.199,3.033
1898-06-01,1898,6,100,274.5704,1121.3618,2515.8714,12.904
1898-07-01,1898,7,100,459.849,2265.7026,4435.7786,9.2921
1898-08-01,1898,8,31.2947,155.3925,738.8268,1527.5978,1.9756
1898-09-01,1898,9,100,557.2608,2061.6931,5338.5784,54.936
1898-10-01,1898,10,95.8729,253.3929,1013.8208,2336.385,1.4554
1898-11-01,1898,11,49.6124,114.4993,399.9343,1062.3849,0.4532
1898-12-01,1898,12,15.9305,103.3253,165.4246,633.1705,0.0515
1899-01-01,1899,1,32.3297,127.0194,304.7906,1191.3555,2.4837
1899-02-01,1899,2,22.2703,92.1679,119.3452,531.9014,0.1544
1899-03-01,1899,3,41.8616,115.6513,166.0024,1186.758,7.9416
1899-04-01,1899,4,67.7957,303.4597,857.4031,4434.8058,7.3184
1899-05-01,1899,5,61.9594,273.9494,725.3111,5753.4575,43.8543
1899-06-01,1899,6,245.0555,1417.6982,2572.5464,19452.8402,1354.0264
1899-07-01,1899,7,36.0849,172.5182,470.9642,4173.8314,9.1932
1899-08-01,1899,8,89.4778,843.053,1290.9744,7867.3734,163.716
1899-09-01,1899,9,33.0877,241.531,600.998,3659.2195,117.6916
1899-10-01,1899,10,60.7461,372.8301,717.6285,2847.0111,19.7004
1899-11-01,1899,11,100,505.5009,1283.7319,9516.5693,126.0496
1899-12-01,1899,12,15.8646,95.1259,219.1078,1065.1472,0.7658
1900-01-01,1900,1,14.9235,98.9759,113.7286,609.7832,0.4059
1900-02-01,1900,2,2.3016,83.2294,28.1148,185.3249,0.0021
1900-03-01,1900,3,100,213.6264,964.911,2599.0819,14.8658
