# Sample flow file,,,,,,,
# Scenario B flow,,,,,,,
# To be processed using flow stress calculator (FlowStress_main.py),,,,,,,
# Robert Morden University of Melbourne February 2024,,,,,,,
,year,month,C1,C2,C3,C4,C5
1918-09-01,1918,9,70.5319,356.8453,1459.8508,3059.3971,1.8583
1918-10-01,1918,10,92.3047,329.5622,1189.3099,3182.917,28.6711
1918-11-01,1918,11,11.289,129.5232,224.4245,656.1364,0.1468
1918-12-01,1918,12,10.7603,136.4487,113.7609,445.9963,0.0153
1919-01-01,1919,1,1.6957,129.1527,31.171,207.421,0.0001
1919-02-01,1919,2,78.8362,233.3135,551.9492,1990.3618,5.4423
1919-03-01,1919,3,100,502.1835,1824.8777,6954.81,21.4115
1919-04-01,1919,4,14.2961,127.2926,268.3713,1135.2484,0.1091
1919-05-01,1919,5,89.0656,332.1243,640.6476,3424.1167,14.3393
1919-06-01,1919,6,90.4445,520.4036,889.0432,4511.7469,13.4839
1919-07-01,1919,7,68.9012,420.5085,1104.1266,5476.4556,24.706
1919-08-01,1919,8,59.0502,462.0891,957.5159,4901.6581,11.4178
1919-09-01,1919,9,100,420.8171,943.6753,2989.5536,11.8208
1919-10-01,1919,10,25.2573,153.7324,258.1165,873.3126,0.1469
1919-11-01,1919,11,6.5706,125.3387,82.8929,439.2381,0.0044
1919-12-01,1919,12,25.6936,148.1497,158.2712,941.4186,0.274
1920-01-01,1920,1,3.315,121.8859,27.6918,265.9473,0.0014
1920-02-01,1920,2,0.9115,109.0425,9.5816,155.4005,0
1920-03-01,1920,3,9.1383,127.0492,61.0299,333.3255,0.1436
1920-04-01,1920,4,2.8853,122.8839,34.8504,241.875,0.0026
1920-05-01,1920,5,69.4179,241.3575,464.6554,1139.8887,0.2998
1920-06-01,1920,6,114.8538,277.3032,1037.1753,2115.1215,7.7512
1920-07-01,1920,7,100,286.8557,983.0015,1762.3656,0.3355
1920-08-01,1920,8,568.4422,1789.1342,5651.5728,10857.6609,80.9371
1920-09-01,1920,9,217.9189,1340.2384,3483.9933,8170.0302,40.8351
1920-10-01,1920,10,86.7178,374.3031,1175.3761,2721.2765,3.151
1920-11-01,1920,11,100,694.9848,1611.9789,4678.9985,13.9495
1920-12-01,1920,12,21.766,128.931,339.3427,1026.4074,0.0866
1921-01-01,1921,1,87.129,203.6842,599.5201,2089.4068,4.7638
1921-02-01,1921,2,22.4554,126.5648,141.0362,604.2928,0.0288
1921-03-01,1921,3,12.1215,122.2551,84.4426,339.2203,0.0015
1921-04-01,1921,4,4.0229,117.5927,41.9696,272.3129,0.0156
1921-05-01,1921,5,67.4638,262.0475,631.0032,2922.5636,7.1253
1921-06-01,1921,6,75.7179,216.0726,594.773,2566.2568,5.6076
1921-07-01,1921,7,154.5533,523.4549,2741.6695,7376.1265,64.2486
1921-08-01,1921,8,399.9235,1617.9859,6394.8724,15710.6079,136.8737
1921-09-01,1921,9,465.85,1898.2987,6320.7474,17958.954,211.2672
1921-10-01,1921,10,100,284.2386,1719.6071,4246.5408,6.1857
1921-11-01,1921,11,85.6063,209.0335,778.9147,2000.1887,1.6518
1921-12-01,1921,12,29.9646,200.4133,350.4957,1079.837,0.0389
1922-01-01,1922,1,6.1231,117.0227,92.1419,334.8465,0.0043
1922-02-01,1922,2,9.8268,110.9898,57.4162,220.5851,0.0034
1922-03-01,1922,3,1.5393,115.7378,16.5645,171.5196,0.0014
1922-04-01,1922,4,8.4605,123.1258,103.0311,466.2119,0.1951
1922-05-01,1922,5,100,279.0664,1041.3905,3185.6353,12.5386
1922-06-01,1922,6,59.1359,370.1552,1108.2955,4518.6542,13.3236
1922-07-01,1922,7,58.7224,289.8963,1384.8263,3731.4932,13.7834
1922-08-01,1922,8,100,949.7468,4975.9162,11833.1486,308.0159
1922-09-01,1922,9,100,1139.5441,2954.8494,8027.7837,23.3
1922-10-01,1922,10,200.6795,1072.6802,3689.0432,12654.5372,231.6172
1922-11-01,1922,11,44.9336,126.0421,772.8496,1823.4644,1.4105
1922-12-01,1922,12,60.008,308.8369,824.612,3481.5253,25.6805
1923-01-01,1923,1,12.9745,124.1777,184.2571,949.0461,0.2445
1923-02-01,1923,2,2.6819,101.6739,53.5248,289.6198,0.0008
1923-03-01,1923,3,0.7956,111.2884,20.0524,173.0376,0
1923-04-01,1923,4,0.2058,107.3924,6.4034,126.9934,0
1923-05-01,1923,5,210.0513,429.3187,1507.6644,3376.7949,18.4429
1923-06-01,1923,6,479.76,536.9394,3028.6608,5443.0296,41.1489
1923-07-01,1923,7,2123.4503,4251.5336,21059.1185,33515.1934,1328.8299
1923-08-01,1923,8,417.3927,1992.4763,9421.4445,16750.8139,1169.6757
1923-09-01,1923,9,322.4313,1786.8001,7073.4468,15081.606,675.0618
1923-10-01,1923,10,442.3061,2622.3021,6053.8239,16985.9723,619.0779
1923-11-01,1923,11,111.0031,280.7528,1647.2339,3415.4193,18.1229
1923-12-01,1923,12,121.1528,230.8405,1084.6394,2794.3596,13.3179
1924-01-01,1924,1,46.9752,171.7455,369.9132,1449.6881,0.5424
1924-02-01,1924,2,570.9982,867.6382,2647.2995,10044.2695,111.9046
1924-03-01,1924,3,853.8613,2455.1644,3955.8845,22973.4866,268.1447
1924-04-01,1924,4,144.6836,743.3587,1185.5707,8107.7975,111.461
1924-05-01,1924,5,66.9241,288.4204,461.2474,3311.5836,61.0742
1924-06-01,1924,6,205.4216,1323.194,1451.3791,7580.2603,693.8296
1924-07-01,1924,7,50.1206,568.3408,482.9013,2605.65,79.3128
1924-08-01,1924,8,558.8027,3821.2301,7236.1152,22617.8885,5321.3701
1924-09-01,1924,9,452.7224,2594.7467,4818.879,13700.2749,281.6337
1924-10-01,1924,10,535.1809,1758.9562,4086.9984,12504.7164,950.9098
1924-11-01,1924,11,935.7193,1323.7548,5214.8357,15657.8956,2163.9473
1924-12-01,1924,12,100,217.9553,1023.4249,2678.2175,17.6099
1925-01-01,1925,1,53.0838,170.9207,340.9086,906.9466,0.1415
1925-02-01,1925,2,30.87,155.2416,166.536,691.6946,0.3234
1925-03-01,1925,3,5.7016,144.0085,47.1329,273.035,0.0018
1925-04-01,1925,4,8.5024,145.5865,81.8264,375.6705,0.0561
1925-05-01,1925,5,100,299.3275,967.1164,3951.7203,40.9878
1925-06-01,1925,6,29.2545,157.0817,291.687,1185.2628,2.2796
1925-07-01,1925,7,100,299.3968,1346.5087,3455.1695,13.6088
1925-08-01,1925,8,63.0611,288.5388,1021.4004,3178.367,11.2808
1925-09-01,1925,9,107.6518,374.9885,1581.4188,4487.8929,69.656
1925-10-01,1925,10,27.3322,148.3499,347.4073,1103.2467,0.4812
1925-11-01,1925,11,26.179,169.3775,344.0514,1958.9413,2.97
1925-12-01,1925,12,4.488,133.5131,70.8309,453.5827,0.0157
1926-01-01,1926,1,3.711,135.042,39.7857,278.3165,0.0002
1926-02-01,1926,2,0.5477,118.9798,9.5595,156.4722,0
1926-03-01,1926,3,1.5074,132.621,12.2685,202.2503,0.0005
1926-04-01,1926,4,41.4409,177.3429,218.4982,648.1464,0.216
1926-05-01,1926,5,110.4356,447.4409,1032.7554,2546.5255,15.5228
1926-06-01,1926,6,100,382.448,976.425,2263.9992,2.5031
1926-07-01,1926,7,109.9341,549.1263,2426.3993,4497.3292,33.2262
1926-08-01,1926,8,100,404.1751,1777.1412,2896.6416,9.366
1926-09-01,1926,9,53.7835,210.387,785.2201,1617.8292,5.9153
1926-10-01,1926,10,100,308.583,1052.7419,2399.8278,9.8102
1926-11-01,1926,11,32.2572,145.2892,298.9486,764.2637,0.1528
1926-12-01,1926,12,30.1182,137.9834,163.5172,537.8317,0.2328
1927-01-01,1927,1,4.2466,122.0135,37.2199,208.8919,0.0014
1927-02-01,1927,2,3.6837,113.286,34.9821,197.2402,0.006
1927-03-01,1927,3,4.5788,125.4465,36.5875,232.6786,0.0289
1927-04-01,1927,4,1.4931,118.8559,19.2685,173.8248,0.0018
1927-05-01,1927,5,66.0503,198.5514,407.2916,1115.072,1.8663
1927-06-01,1927,6,15.4558,129.6284,122.5553,375.1479,0.041
1927-07-01,1927,7,107.7937,418.2497,2100.004,4377.8949,61.1791
1927-08-01,1927,8,123.268,527.5511,2364.9817,4567.0342,46.2879
1927-09-01,1927,9,42.0526,161.3768,704.6114,1332.3863,0.6694
1927-10-01,1927,10,29.364,222.8998,402.0309,1369.4333,0.1515
1927-11-01,1927,11,5.5843,114.0919,100,450.2152,0.1427
1927-12-01,1927,12,27.8222,134.9085,175.2065,891.1586,0.4194
1928-01-01,1928,1,100,210.3292,652.6325,1797.6179,2.1486
1928-02-01,1928,2,423.3974,813.8547,2877.4979,9119.4586,134.6935
1928-03-01,1928,3,100,363.4459,1105.8997,9889.3406,41.298
1928-04-01,1928,4,27.362,117.1302,275.2607,1702.6203,1.5267
1928-05-01,1928,5,65.417,253.9363,546.7986,4572.2524,35.5089
1928-06-01,1928,6,100,259.9721,1020.6496,7556.3278,123.1341
1928-07-01,1928,7,28.4941,177.333,288.9913,1927.0956,4.5379
1928-08-01,1928,8,9.1526,129.2001,131.8797,1017.9867,5.5575
1928-09-01,1928,9,64.0837,329.2833,428.5108,2449.4726,26.3349
1928-10-01,1928,10,167.9949,654.0941,1642.626,10557.4505,247.2822
1928-11-01,1928,11,27.9136,117.1749,260.5728,1355.8538,1.7198
1928-12-01,1928,12,8.0976,108.6341,91.6239,463.2788,0.0033
1929-01-01,1929,1,7.5564,109.9143,54.8702,357.1279,0.2364
1929-02-01,1929,2,13.2318,120.4633,82.8327,514.6819,0.7469
1929-03-01,1929,3,14.3329,133.1781,124.9047,667.0014,0.3226
1929-04-01,1929,4,200.9299,601.3329,1600.0139,4912.8309,10.7344
1929-05-01,1929,5,48.9879,183.9587,430.1378,1398.254,0.1824
1929-06-01,1929,6,100,424.1661,1325.445,4631.2107,23.955
1929-07-01,1929,7,71.2941,316.8877,1046.7388,4146.5785,8.6566
1929-08-01,1929,8,60.7044,674.2295,1206.4683,5240.5851,11.4591
1929-09-01,1929,9,36.4764,330.3875,493.128,2232.9324,4.1395
1929-10-01,1929,10,99.8474,348.3512,972.4818,2948.004,2.6915
1929-11-01,1929,11,38.3163,195.8964,398.9142,2079.2174,2.9
1929-12-01,1929,12,100,260.8834,804.5682,5071.8301,16.9603
1930-01-01,1930,1,14.0748,100.7592,123.6479,667.5931,0.0864
1930-02-01,1930,2,64.7048,162.067,470.9023,1845.8332,4.07
1930-03-01,1930,3,7.9485,100.5342,77.7507,393.6687,0.0228
1930-04-01,1930,4,21.5711,139.4314,326.5434,1232.2422,1.8923
1930-05-01,1930,5,30.8789,133.3154,295.389,1170.9626,1.3509
1930-06-01,1930,6,18.2196,171.2224,294.6035,3018.5466,5.7396
1930-07-01,1930,7,60.8701,188.9043,777.5065,3115.4067,15.6492
1930-08-01,1930,8,213.3432,428.4256,2601.0057,9310.3706,219.2146
1930-09-01,1930,9,100,491.2663,2214.6085,9299.1206,176.6226
1930-10-01,1930,10,183.0438,723.6419,3955.1198,12030.8565,229.054
1930-11-01,1930,11,49.0142,200.3329,930.122,3217.5811,24.9583
1930-12-01,1930,12,292.8766,641.9909,1736.6881,9688.9161,67.5227
1931-01-01,1931,1,38.285,101.3859,302.7488,1099.7856,0.3463
1931-02-01,1931,2,9.8947,92.0499,92.6689,364.786,0.0171
1931-03-01,1931,3,102.596,280.487,1041.6486,3642.2599,14.2077
1931-04-01,1931,4,85.9051,167.0474,504.3261,2226.391,6.9475
1931-05-01,1931,5,100,337.7841,1348.3269,5930.9599,111.7753
1931-06-01,1931,6,187.842,529.1689,2644.9104,12307.2838,1731.8664
1931-07-01,1931,7,161.5781,1495.7484,5424.1567,16261.5246,3647.9284
1931-08-01,1931,8,132.7483,1531.7122,6450.5649,14913.1986,3560.2059
1931-09-01,1931,9,100,654.9372,3206.0639,5916.8675,160.4486
1931-10-01,1931,10,27.6358,112.2959,730.1522,1269.5207,0.7897
1931-11-01,1931,11,100,284.7522,1134.5541,3300.7657,53.6707
1931-12-01,1931,12,14.848,100,209.7289,625.5361,0.292
1932-01-01,1932,1,3.7437,100,67.6757,243.6816,0
1932-02-01,1932,2,35.8353,139.2386,283.4644,1047.4793,4.3564
1932-03-01,1932,3,306.8707,566.628,1810.029,4428.8902,33.5642
1932-04-01,1932,4,350.0757,2789.0436,3715.5189,12095.3143,154.2517
1932-05-01,1932,5,49.0913,111.8835,619.2775,1722.591,0.9685
1932-06-01,1932,6,208.4944,1819.286,2799.307,8799.0126,411.7153
1932-07-01,1932,7,100,1198.7098,2427.4062,7755.5943,356.4494
1932-08-01,1932,8,228.3583,3106.1803,6131.738,17772.2157,3249.442
1932-09-01,1932,9,51.463,430.7047,2534.2164,5015.5085,502.4996
1932-10-01,1932,10,100,821.5335,3005.804,9694.6034,864.2206
1932-11-01,1932,11,21.4434,185.3609,624.71,1600.313,2.4848
1932-12-01,1932,12,94.2192,281.6111,780.5877,2382.535,8.2108
1933-01-01,1933,1,18.2316,109.2249,168.3963,540.4886,0.0426
1933-02-01,1933,2,3.5198,100,48.3139,211.7536,0
1933-03-01,1933,3,6.7556,110.6647,55.6468,258.2341,0.0319
1933-04-01,1933,4,14.4354,120.2403,136.9679,546.7726,0.5901
1933-05-01,1933,5,100,400.9473,1161.9419,3930.7378,25.8732
1933-06-01,1933,6,100,324.5724,1050.868,2834.9612,2.188
1933-07-01,1933,7,75.4355,365.7662,1027.4125,3404.7944,3.666
1933-08-01,1933,8,100,733.4948,2235.7348,5978.1837,118.7679
1933-09-01,1933,9,268.0893,1094.6177,3262.181,7842.8018,59.0376
1933-10-01,1933,10,65.647,167.3662,888.7631,1987.7343,1.4334
1933-11-01,1933,11,116.6705,380.2352,1117.1129,3681.0668,106.9896
1933-12-01,1933,12,802.3948,1524.5805,3741.0619,23491.0081,849.1868
1934-01-01,1934,1,100,153.59,657.9085,3072.1692,6.6093
1934-02-01,1934,2,31.7352,111.9035,216.6718,1013.6495,1.0058
1934-03-01,1934,3,8.4176,106.4419,73.9413,381.5882,0.0109
1934-04-01,1934,4,141.4351,517.0076,1628.3617,8510.254,456.9809
1934-05-01,1934,5,18.9103,107.2537,227.2614,1304.3049,2.4093
1934-06-01,1934,6,7.5945,109.5244,98.1341,837.7826,0.6835
1934-07-01,1934,7,36.006,183.1887,243.774,3030.8025,39.5399
1934-08-01,1934,8,98.3772,484.2291,824.1202,4871.847,72.2277
1934-09-01,1934,9,72.4111,457.5881,598.4307,4703.9817,163.2913
1934-10-01,1934,10,422.0444,1999.6147,2766.152,17295.6802,3491.0653
1934-11-01,1934,11,489.287,2670.1437,5167.5714,26971.4061,9063.3093
1934-12-01,1934,12,82.575,135.3389,856.1838,3147.0532,22.9317
1935-01-01,1935,1,29.5875,132.6065,342.7413,1218.4458,0.0274
1935-02-01,1935,2,63.0661,288.1757,642.599,2177.0609,0.3578
1935-03-01,1935,3,72.4638,181.1048,574.9095,1681.294,1.6792
1935-04-01,1935,4,527.1328,1800.3091,4394.9192,18255.5083,238.8325
1935-05-01,1935,5,100,359.0191,1339.3318,5580.2618,3.5868
1935-06-01,1935,6,100,1342.1099,1985.8692,10820.691,127.4835
1935-07-01,1935,7,143.8101,1063.9037,3017.5565,8211.1542,132.5141
1935-08-01,1935,8,261.1674,3067.3351,8234.2614,19093.6314,2313.7046
1935-09-01,1935,9,100,422.164,2643.127,4817.8206,103.1064
1935-10-01,1935,10,124.6753,953.2194,2228.0945,6257.6629,55.9553
1935-11-01,1935,11,45.8291,176.9793,627.6926,1601.0599,1.1768
1935-12-01,1935,12,15.9232,127.1797,188.1442,516.5576,0.0049
1936-01-01,1936,1,9.9423,124.8276,84.8584,347.0537,0.0233
1936-02-01,1936,2,1.5071,104.8713,21.4724,158.0107,0.0006
1936-03-01,1936,3,7.2051,125.423,76.6827,637.696,0.8333
1936-04-01,1936,4,31.2402,155.6889,217.6195,889.8594,0.2259
1936-05-01,1936,5,55.0432,148.6177,275.6239,857.8502,1.2385
1936-06-01,1936,6,92.0383,233.7156,478.9262,1606.3325,1.611
1936-07-01,1936,7,409.0145,1525.9858,4220.0406,12080.3379,312.786
1936-08-01,1936,8,190.8132,1885.4028,3304.6316,13033.0062,1098.3392
1936-09-01,1936,9,58.8054,285.8082,901.8906,2831.1774,11.9198
1936-10-01,1936,10,100,401.6775,1259.9848,3852.4611,19.0944
1936-11-01,1936,11,28.6345,133.9614,302.4336,1121.7971,0.5054
1936-12-01,1936,12,85.3452,297.6453,567.4682,2823.479,13.8667
1937-01-01,1937,1,92.5192,172.6603,419.3856,1690.5165,6.2768
1937-02-01,1937,2,17.2567,112.3679,119.5576,700.6075,0.1367
1937-03-01,1937,3,10.397,123.5061,104.5995,880.1149,0.2354
1937-04-01,1937,4,4.4878,113.2652,39.056,364.8512,0.0024
1937-05-01,1937,5,47.2676,172.5017,467.0878,2314.7124,6.745
1937-06-01,1937,6,9.2914,110.6452,106.1646,524.4945,0.0346
1937-07-01,1937,7,35.1526,147.853,380.4364,1691.7672,0.5113
1937-08-01,1937,8,98.6416,295.467,826.8658,3474.463,4.2262
1937-09-01,1937,9,89.4747,304.2004,901.1163,3554.3099,5.3024
1937-10-01,1937,10,106.991,794.1531,2079.0148,16503.2813,57.6533
1937-11-01,1937,11,20.2396,104.745,316.5861,1632.5991,0.2988
1937-12-01,1937,12,204.3779,221.3293,1351.8381,3384.3122,50.8886
1938-01-01,1938,1,51.4733,120.9518,348.6212,1218.7037,0.7266
1938-02-01,1938,2,27.0957,122.3232,201.335,866.7484,0.458
1938-03-01,1938,3,5.951,109.2142,62.3426,363.2372,0.0091
1938-04-01,1938,4,100,185.8568,674.5152,1702.5791,0.3917
1938-05-01,1938,5,17.3014,111.0239,127.7768,459.8992,0.0079
1938-06-01,1938,6,231.595,618.6499,2073.0134,7178.4303,34.5145
1938-07-01,1938,7,69.5378,165.2529,741.5336,3219.3776,6.111
1938-08-01,1938,8,28.7655,126.2212,351.6184,1237.6551,0.178
1938-09-01,1938,9,19.0066,110.8375,195.6243,847.9366,0.1798
1938-10-01,1938,10,3.6221,100.4774,61.3517,305.8296,0.0135
1938-11-01,1938,11,5.29,104.4297,44.3227,328.6469,0.0375
1938-12-01,1938,12,1.5877,100,12.6564,156.6458,0.0003
1939-01-01,1939,1,0.3848,100,3.8676,115.6204,0
1939-02-01,1939,2,100,216.3733,536.2632,1619.0024,0.671
1939-03-01,1939,3,12.2335,100,78.4143,321.1467,0.0038
1939-04-01,1939,4,455.969,360.1255,2120.4394,3437.7727,7.602
1939-05-01,1939,5,101.6295,201.7029,1316.4624,2490.8778,7.6941
1939-06-01,1939,6,226.6397,1159.1194,3478.3923,8050.6736,233.5033
1939-07-01,1939,7,87.7798,211.1982,1828.8511,3117.6369,9.158
1939-08-01,1939,8,1682.2729,6322.2784,20249.1241,39347.3341,4628.0533
1939-09-01,1939,9,435.6728,1470.2352,8205.0793,17025.3535,844.7041
1939-10-01,1939,10,169.0316,550.8769,3508.9567,6417.0293,220.7431
1939-11-01,1939,11,882.1526,2472.3241,6650.1689,24716.5038,2890.7152
1939-12-01,1939,12,100,125.7052,1146.3184,2784.2503,4.1097
1940-01-01,1940,1,52.1355,125.2423,456.8843,1228.6627,0.8033
1940-02-01,1940,2,10.333,102.9766,128.1589,415.4552,0.0055
1940-03-01,1940,3,3.6445,111.8307,50.3973,224.0616,0.0005
1940-04-01,1940,4,46.1977,188.9405,353.4492,1202.5244,0.7791
1940-05-01,1940,5,17.8747,129.0515,142.0647,546.1217,0.0595
1940-06-01,1940,6,21.8704,131.0495,170.6438,545.06,0.1229
1940-07-01,1940,7,96.7576,260.3442,786.5914,1887.3395,1.3745
1940-08-01,1940,8,27.0758,141.7355,255.8999,707.1141,0.1682
1940-09-01,1940,9,85.7278,384.7254,821.1038,3005.1925,4.0477
1940-10-01,1940,10,13.1136,111.6829,141.7002,598.7754,0.0265
1940-11-01,1940,11,76.278,243.6759,536.2728,2276.4993,5.6074
1940-12-01,1940,12,19.8044,117.2408,146.4256,828.0241,0.2418
1941-01-01,1941,1,215.0842,278.3956,920.6894,2662.6878,3.4089
1941-02-01,1941,2,28.0446,100,127.2445,506.607,0.0237
1941-03-01,1941,3,100,336.8812,592.3022,2269.8193,7.131
1941-04-01,1941,4,39.0946,160.1306,306.1286,1911.0284,5.725
1941-05-01,1941,5,9.9729,110.3778,94.4708,752.3718,0.3021
1941-06-01,1941,6,100,216.8276,899.4726,4060.3119,56.7755
1941-07-01,1941,7,100,363.1028,1386.4424,5918.188,133.7467
1941-08-01,1941,8,156.1426,677.8134,2213.4757,11055.811,710.1792
1941-09-01,1941,9,279.2909,1271.2879,3896.4155,15471.8678,2807.9942
1941-10-01,1941,10,100,234.2049,1591.4528,4438.2677,22.9607
1941-11-01,1941,11,44.8744,150.1946,594.8934,1763.7291,7.4438
1941-12-01,1941,12,24.1152,112.3883,232.716,795.1743,0.2001
1942-01-01,1942,1,19.9789,104.0229,113.2083,411.5441,0.1204
1942-02-01,1942,2,10.5703,100,75.9081,413.6363,0.0823
1942-03-01,1942,3,22.2203,118.0201,139.8157,613.4659,0.1717
1942-04-01,1942,4,14.2528,108.4015,100,550.253,0.3953
1942-05-01,1942,5,415.1539,1017.3539,3068.7637,7797.6858,63.6069
1942-06-01,1942,6,100,256.3214,1029.3445,2478.4425,1.6342
1942-07-01,1942,7,100,742.1867,1841.7558,6982.8316,518.5134
1942-08-01,1942,8,280.5043,773.3485,3896.3001,10350.7906,1807.5465
1942-09-01,1942,9,431.9116,1734.5305,5961.2255,14982.9607,3643.4747
1942-10-01,1942,10,100,231.7413,1667.3798,3185.555,13.3885
1942-11-01,1942,11,121.4144,631.7853,1438.4741,3950.9397,7.3875
1942-12-01,1942,12,24.6779,106.4462,313.7841,1077.3084,0.1123
1943-01-01,1943,1,22.8679,115.2939,168.2926,660.6051,0.3067
1943-02-01,1943,2,20.3637,107.614,113.9759,412.4878,0.0507
1943-03-01,1943,3,3.2478,100,27.2083,177.3546,0.0005
1943-04-01,1943,4,55.1398,223.9499,420.1459,1575.6267,2.9667
1943-05-01,1943,5,25.4379,115.3279,174.4172,591.2441,0.1094
1943-06-01,1943,6,100,369.7532,950.7046,3352.8351,14.6318
1943-07-01,1943,7,106.4815,426.7779,1845.9017,5261.2634,43.8433
1943-08-01,1943,8,100,482.6939,1395.9533,4293.7075,46.5063
1943-09-01,1943,9,132.9918,1308.2761,3449.3522,13802.9172,518.1481
1943-10-01,1943,10,70.8851,205.9141,1164.9984,2889.4442,12.419
1943-11-01,1943,11,28.8736,139.2792,422.495,1196.3378,0.5135
1943-12-01,1943,12,5.9584,100,118.6075,391.5687,0.0033
1944-01-01,1944,1,5.3896,100,80.9423,356.8696,0.0466
1944-02-01,1944,2,1.6689,91.6999,22.556,151.2828,0.0005
1944-03-01,1944,3,12.5238,100.731,46.4217,190.8734,0.0004
1944-04-01,1944,4,49.4855,197.9153,402.1713,1043.337,0.9934
1944-05-01,1944,5,292.2592,1184.5219,3422.4138,7633.7942,59.0292
1944-06-01,1944,6,46.7736,165.6826,645.0928,1371.8221,0.6983
1944-07-01,1944,7,100,550.584,1313.5408,2251.7202,0.9476
1944-08-01,1944,8,19.7283,152.9874,314.3688,645.8254,0.0062
1944-09-01,1944,9,15.1633,123.9295,207.4243,494.9421,0.337
1944-10-01,1944,10,57.1467,319.2902,608.6843,1638.5997,2.9988
1944-11-01,1944,11,17.9898,113.119,171.5973,592.2993,0.067
1944-12-01,1944,12,45.8194,171.9109,300.2589,1099.0108,0.2952
1945-01-01,1945,1,17.0467,100,89.9867,383.4893,0.0113
1945-02-01,1945,2,16.3515,99.2046,106.693,463.7823,0.0693
1945-03-01,1945,3,2.3738,94.5996,20.7631,162.8197,0.0004
1945-04-01,1945,4,2.3537,94.1323,26.2468,160.4883,0.0003
1945-05-01,1945,5,32.0989,224.0633,344.1612,1309.7852,1.8099
1945-06-01,1945,6,32.7385,135.3626,216.1097,646.9151,0.6944
1945-07-01,1945,7,75.0506,240.4007,820.5804,2302.6891,15.1336
1945-08-01,1945,8,100,408.7777,1102.035,2361.925,15.5247
1945-09-01,1945,9,51.2145,399.3923,724.213,1762.178,1.7615
1945-10-01,1945,10,71.3909,360.0768,693.7469,2278.3909,2.5672
1945-11-01,1945,11,56.0217,270.7469,673.5102,2547.3448,17.9374
1945-12-01,1945,12,8.2753,92.0933,125.7374,529.1756,0.0966
1946-01-01,1946,1,149.0484,257.0154,1044.2148,3067.1079,32.4612
1946-02-01,1946,2,123.8638,293.3902,1118.7296,4002.0071,42.4781
1946-03-01,1946,3,141.9653,405.0819,1472.6622,6044.6897,117.5946
1946-04-01,1946,4,83.8697,367.8575,710.2162,4208.9557,9.2051
1946-05-01,1946,5,30.1839,201.5598,327.9874,4927.2201,3.3711
1946-06-01,1946,6,80.8455,1371.4894,1255.0232,12845.4301,905.3902
1946-07-01,1946,7,204.2828,4172.9457,5202.5427,20802.3312,2977.8273
1946-08-01,1946,8,111.9225,2914.5409,4256.2792,15152.2778,2316.9394
1946-09-01,1946,9,100,2133.9103,3454.3531,12413.0107,248.8429
1946-10-01,1946,10,84.0881,811.3323,1788.0205,5064.1115,44.1529
1946-11-01,1946,11,43.4398,160.6641,545.2016,1451.2072,1.5426
1946-12-01,1946,12,52.246,141.5646,524.944,3219.4068,34.2283
1947-01-01,1947,1,6.7473,102.0045,100.1155,623.381,0.1745
1947-02-01,1947,2,100,111.9704,353.3877,1404.3512,2.6832
1947-03-01,1947,3,299.3963,391.6864,1623.9529,5065.4374,58.3102
1947-04-01,1947,4,51.5449,161.4554,404.5677,2033.536,2.7448
1947-05-01,1947,5,14.5297,104.7633,102.6083,548.7397,0.023
1947-06-01,1947,6,129.452,488.1177,1307.0129,7505.2798,143.4921
1947-07-01,1947,7,259.6581,1282.0621,3564.6776,17538.812,1754.0728
1947-08-01,1947,8,98.4017,839.033,1664.877,7779.8403,964.0536
1947-09-01,1947,9,96.1971,591.7564,1352.0007,4866.2465,454.2382
1947-10-01,1947,10,590.8726,2387.3835,5102.1958,16672.7168,2169.7125
1947-11-01,1947,11,120.9788,495.9647,1575.6182,4279.2269,40.8729
1947-12-01,1947,12,244.6061,907.7019,1595.0416,8996.4535,37.7065
1948-01-01,1948,1,44.992,118.9574,355.5622,1158.6054,0.3026
1948-02-01,1948,2,11.9099,100,101.1554,432.0334,0.0183
1948-03-01,1948,3,3.8568,105.9544,39.9572,211.2548,0.0001
1948-04-01,1948,4,92.1242,213.4013,832.4655,2397.7899,9.2203
1948-05-01,1948,5,163.5227,629.3702,2952.8134,9848.3977,251.3278
1948-06-01,1948,6,100,566.8078,2078.7344,8769.4479,54.7254
1948-07-01,1948,7,100,561.2266,2607.8129,7642.3375,69.8863
1948-08-01,1948,8,41.4265,353.3153,1346.7187,3522.4573,35.3955
1948-09-01,1948,9,100,667.9892,1943.0167,4049.263,21.5575
1948-10-01,1948,10,480.2798,2565.4945,7035.9248,21072.3191,1210.784
1948-11-01,1948,11,96.157,198.4976,1393.9031,2919.4223,7.4574
1948-12-01,1948,12,34.8818,122.5354,499.0335,1097.5029,2.3638
1949-01-01,1949,1,7.8028,108.1443,151.5581,412.7616,0.0649
1949-02-01,1949,2,123.2618,278.7154,950.1121,3389.3284,24.346
1949-03-01,1949,3,375.2805,654.1217,1922.7869,7606.1672,53.1527
1949-04-01,1949,4,47.1117,109.3568,297.0136,1264.1241,0.2708
1949-05-01,1949,5,41.9595,225.2561,375.1792,3148.8552,8.827
1949-06-01,1949,6,63.9461,286.6285,438.145,3816.9788,3.2112
1949-07-01,1949,7,85.1603,466.0881,731.924,6604.3032,14.114
1949-08-01,1949,8,28.6146,282.0503,393.1699,3621.7254,10.7205
1949-09-01,1949,9,76.3767,346.6041,613.1758,3477.3911,16.1559
